pm_id,method_type,method_hash,card_network
5990ae7a-81ea-49c0-8203-faccaea847d3,card,b28bc8a9e20a1958,Mastercard
8794ea58-14e4-4f59-8803-18b98fc2ad59,upi,dde09b75af64bd4d,RuPay
8f5a356b-3342-4f97-953e-827b35cdabe6,card,c4f025208e435350,RuPay
ea57a26f-5b82-4747-b82d-b8a81c82e26e,card,69941f2513f7c50d,Mastercard
c47116cb-d821-43cd-b8ed-a89fa4a3a440,card,c4dcc5ae664d3b6b,Visa
47d6d8a7-6ef4-46a5-a836-cb529e3b807e,netbanking,3b421c024fff7592,Visa
97193b11-60cd-45c8-8ff1-717e9c513d9e,card,8ab247637d67aeeb,RuPay
bc050807-d933-4661-a886-76a2270b1dd8,card,af4127f2185d2de7,Mastercard
59b9c6e0-0cd8-4f90-9dda-876dbf596805,wallet,57f628dee8b1e101,Amex
2bc6d651-a3d1-426f-a5b4-0d804be49acb,netbanking,03f5d68963f75d44,Mastercard
f8d0488a-5d14-4b5c-9b17-2fdb45c2bc12,card,576ece7b1f864eec,Mastercard
982fd6dd-3aa3-426c-8595-dc900f784782,card,3b366ee4de0bef2f,Visa
6d42ee74-0a9b-4ad8-8ae7-eb52e951443b,card,cea17fa3b6c44bd6,RuPay
d43566ac-c2a3-4a33-8842-3cd9d7f1df0d,upi,bd790d7ec1454d5f,Mastercard
7ae92b61-764c-4c5b-8b8f-d67aee4aa275,card,bf29cf8395320305,Amex
636eacd8-8750-4a2d-8e84-1c3d812280fe,wallet,3a67dea00469faf8,Mastercard
363ce32b-7a65-4f87-a1b7-5ec530ed1ef3,netbanking,19b763ca46952fb5,Amex
bd437188-887f-4240-bdfa-42cb83411425,upi,e36431b46f7d4ad3,Mastercard
444da3fe-98b0-46f2-9220-ca5644fc719b,card,2beb8e285f87db02,Mastercard
f3558733-d7c0-47b7-aeb4-4eda723746e0,netbanking,1c50557da7efaf8b,Mastercard
7341a65a-03d7-4b2f-8c9b-4c7d5bba62c0,upi,3e33d69a2db3bc8b,Mastercard
81d2e3f9-33b4-483c-9e55-949a985526c4,netbanking,e43f6efecb335f6c,Mastercard
6894f5cf-ed97-4a22-af55-f84d1cce21d7,card,98d72abe55723fbe,Amex
9f728229-c8bd-4e0f-80c2-6d101017719b,upi,38f670dcf874924b,RuPay
82e92a04-81cf-427b-8e31-2efe7aae0ad7,netbanking,c5514e776020a25e,Visa
95e9d038-03b1-45c7-8451-933f72791537,wallet,918a1ba5318c65c4,Visa
a6546b96-4fbf-47ff-bab0-0f48b87d2119,upi,3cfcd2e190dcd5da,Visa
51e2d402-5e4f-4a72-8145-ec8a69e0492a,upi,04121356df79adcf,RuPay
0d4725fc-1239-4e17-9b09-ac3ac3c1f795,upi,ab2dea9820747f7a,Visa
32bc3997-6903-4aec-a967-acb0aa807fc1,upi,cf5bfe1b943cdfe9,Mastercard
92b0efe7-b481-4397-a464-9de1e213f97e,wallet,643337d8ed1e8ae9,Amex
c5e5df0f-2b50-462e-9186-614d27d4e8fa,upi,1ddd2f4008096bab,Visa
ce9f6c6c-6c5f-4df2-a70d-713f6b696004,card,3ea777412ac493c4,Visa
75e21779-2545-44ed-926a-4e7f0e467fc8,card,ddc3912458a97d39,Visa
55e852fd-2fcb-4143-be6e-99fda4449f22,upi,85e6c79fb5bf85ae,Mastercard
72e6aa4d-16a3-420b-9094-aa06f04381fb,netbanking,d10528e2cd58d374,Visa
ae52ef9f-1087-4972-9591-0fe228c1d807,card,c60bb64995d13362,RuPay
f720bd76-7cf9-4903-a283-615a680e8a13,card,c27f93201d677cdf,RuPay
2d715df8-3bed-4410-a476-3ff30df912b7,wallet,16bfa7782c05e6e1,Visa
b7d605d7-e2c3-4f6b-8a21-d85775b2b865,upi,f7a0b8f0ff0fc193,RuPay
1cd243a9-8a43-4311-adf7-5c5ae0649c55,card,099be61567a2a846,Mastercard
3c159b05-702a-49b7-b2a5-27ebf925cea2,card,8887cf4631d1d58b,Visa
e7db03c1-df72-418f-a27a-d1a17d2d1f90,upi,f56f6657ca771464,Mastercard
1e89b011-9c1b-49e4-b95a-e6557f2296be,card,c81516ebd42e12ba,RuPay
b79cc12e-2b6b-47b7-9579-6f56ad8c1cd0,upi,8894c9a3cde66d58,Visa
37717310-bc40-4c49-94db-3259388b6db0,upi,661e9c7bc16405af,Amex
c32b0090-5508-4823-9e0d-153466756f89,upi,3448f2f162b5fd25,Amex
40968c84-9403-4f88-92e9-fca1aa51f6a3,upi,064488f32d93893b,Visa
50123965-1680-4577-9e22-846f6af54350,card,ccb8b344abdbc729,Visa
5e6b697e-e77c-4002-89f7-3e71317f9692,card,46b856c090d0433d,Mastercard
0ac25c8a-9bf4-483f-b213-d41155dbcad1,card,c0364f914fda7db9,Amex
50b0d976-949e-4d77-93bb-fb342b63ee27,card,6da5dbbcad627484,Visa
0fb03845-f91b-41bc-8958-69a06de5bded,upi,54bea9c284322537,Mastercard
37c0e575-b6d2-4aa6-a04e-9f7d4997e5e3,card,9cf93516c2d0bfa3,RuPay
f87445c5-d9dc-4e31-8b76-7a9c1c9fe98d,upi,781410fe7c6e5772,Visa
b0afba00-a533-4432-821c-fa587c02b9ae,card,2d18aa0b36c6019a,Visa
6fee9734-03a9-4e4c-a8ce-d04e617e6912,card,fe562c6252d985d7,Visa
16b5eab2-253c-46e2-8f3f-20b5cd0ce92d,card,65d48daa05c3e5fb,Visa
036cdd03-d212-4ef8-b809-0c1b273afe30,upi,b080c4eaf3d86718,RuPay
86dc1dad-fbc8-496c-8863-534684560f94,upi,4e473d08e633d6a3,Amex
56206ab4-e9a7-4f2a-87e8-324e1b363d9c,netbanking,a78bf59ea9d954c8,Mastercard
629fdca4-8fe5-45ef-aebb-1d9c53706ac8,card,d2196e4af14ba1d7,Mastercard
fb523055-bf51-4f61-b73f-adc79d18d4d5,upi,fe97d6539e1265d9,Visa
666f4af8-69b4-41e3-807a-bcf0a1c515b4,netbanking,56cb58ef5ca7df33,Amex
c32c29f7-1893-4b4b-9375-b2ab279fd1e3,card,b2304f9b2d2ad9b1,Amex
574302f2-edc7-434d-b1ed-ed9839c8d0af,card,6f54eb248b994ca1,RuPay
52095931-e624-4988-a6b3-f82790866bd5,card,2f98c0ea0d2e8730,Mastercard
2706a0a7-d0c6-49aa-a52c-6efc2c2616c3,card,fa5250f8e15a3615,Visa
c693ae49-b878-4497-8056-5e022ee62487,netbanking,ef2d8fa3883f154a,Amex
29690030-2770-4c0f-b91a-6b3ac6545403,card,fe67dd72ce459cfd,Visa
f1938537-5673-4bcc-b441-1ccffffc09e3,upi,14eadbdd95a48640,Visa
e93a51ad-3409-45bb-82dd-49157629e42a,netbanking,f07171516c8e6229,RuPay
40e2d930-f4e9-4512-a00d-aa9ac29d7a0a,card,5979892aba469d96,Visa
51a738aa-6087-4ca1-a285-e44da208cb53,upi,746fe075f7206681,Visa
1cbe808e-9f7f-4ccc-802c-eefc34d797d0,card,62c918a635cf7726,RuPay
b2ec5408-fe18-4761-8e1a-1ad46db194bb,upi,ec6698c16357d12c,Visa
6cdc83d0-3154-4e05-b798-10685150ba5f,card,b9d75272459a444d,Mastercard
41f74ca2-b15d-46d6-a718-bea6d92aa021,card,97b1eaa6aab543b9,RuPay
db403518-66d1-4cda-9b9f-f944ae4c7daa,card,1d2663444f72ed10,Visa
3a8c9b9c-f720-4756-9fd6-2e88e0c17117,upi,1e69aa973ab5a791,Amex
f01893a1-df20-4efd-8e6b-66f89974a3d1,upi,ea3568b3542eb152,Visa
d07dcb27-3447-4b72-b779-af6749baa244,upi,ee3576389c85ecda,RuPay
5673cc7c-ccdb-4467-bad0-8b0db9b7029c,card,4de791202ea70cba,Visa
0eb62eb3-cc00-4ddb-b170-d2ad9804fa6f,wallet,a0c5f41fb4a3ab73,RuPay
efa4584f-90f9-446e-b59b-06c270e0c964,card,78e41b73fa6740e2,Amex
9a0efac5-cd63-4d12-8914-e422a3bba033,netbanking,10f60c162fb9fcaa,Amex
4cf14aa3-0e92-426d-b7a8-625ce592011d,upi,64bf20dd2d452773,Mastercard
b014a566-57d3-4ff6-a571-ebaadecd0ff2,upi,82f8fc7fb956ec39,Visa
e7cd7f25-df2f-4365-b914-0659bd8fc413,upi,0dd6ee8a15da9786,Amex
b741c7a1-b121-456c-b515-10f7e4da8915,netbanking,e2703b75f8be5eb2,RuPay
188e2f86-2a74-48d3-97f0-1130e5ad897b,upi,6d9d038efead09dd,Visa
5ad9a53d-a1b8-4a16-bd42-f1295e8a579d,card,66fb65df7f602d0c,Visa
bad0fad6-85ee-4bf1-8dff-0b9027a974ec,netbanking,944fb99855f495d3,Mastercard
3a2330bd-80d7-4bc8-9b78-21f0291e68fb,card,97f11821bc9780bd,RuPay
4fc6ca1e-884e-4220-8ac1-ea625d7b92bd,upi,d465848543c0b85a,Mastercard
2287659c-8a72-49c7-a5c7-4e279857a0b1,upi,8281b5fe9d1eb543,Amex
aea09ad6-ef50-4e3b-9d6b-1717683946cf,netbanking,bdd43bff23ee8149,RuPay
c165aa59-f787-447c-8fca-8193dfe33e10,upi,8942ce86f4263d19,Amex
b4adfe58-1b88-4bcc-9acd-1e76617af7bb,card,28501e463e7c9998,Amex
