pm_id,method_type,method_hash,card_network
e71a36fc-7d4a-4e56-89b0-97ebaf9a79aa,card,b28bc8a9e20a1958,Mastercard
2f1690a0-0401-405a-b452-79ecde1a983b,upi,dde09b75af64bd4d,RuPay
3dbeb45f-75d5-4462-b937-933066862baa,card,c4f025208e435350,RuPay
147b7427-e086-4983-9f04-80ad5e0a2a2d,card,69941f2513f7c50d,Mastercard
5cbde7c5-db0c-4d0c-b196-099fe8a69cfa,card,c4dcc5ae664d3b6b,Visa
5dc49956-1e6d-4fcb-b34d-e5164b5be3cf,netbanking,3b421c024fff7592,Visa
0a2d9e5b-192d-4539-84fc-b9af56ae8178,card,8ab247637d67aeeb,RuPay
a4e0c70a-d530-4efa-b57d-a5c0d7a644d6,card,af4127f2185d2de7,Mastercard
bec591ca-f120-4236-901d-e107ba7e3f4b,wallet,57f628dee8b1e101,Amex
c7cf3cec-9429-4287-9e34-f6ead8ec810b,netbanking,03f5d68963f75d44,Mastercard
26fdc57b-e142-4995-b7ee-041f7186d339,card,576ece7b1f864eec,Mastercard
1c1d3f15-9b63-4f1f-a361-ac6d0ba8bd38,card,3b366ee4de0bef2f,Visa
3f647c72-79f1-444d-b188-add23eb5ed01,card,cea17fa3b6c44bd6,RuPay
1565db82-8de4-40fa-9671-d5fc6b5d5f3b,upi,bd790d7ec1454d5f,Mastercard
beefb6e4-cbda-4953-9085-9d9fa70ca2db,card,bf29cf8395320305,Amex
500a4b56-75d8-4971-bb7c-861a477b8243,wallet,3a67dea00469faf8,Mastercard
15e749b8-127a-490e-85d9-d009cddd4805,netbanking,19b763ca46952fb5,Amex
f9d9e420-7a2a-4629-8b4f-a4d07b3c7221,upi,e36431b46f7d4ad3,Mastercard
e2220ad5-0058-4795-bfb7-f4f3e4a05d74,card,2beb8e285f87db02,Mastercard
fc0908b7-1281-4f94-bca3-0f9adfb5418e,netbanking,1c50557da7efaf8b,Mastercard
ed4e6d2c-d178-4978-97ed-0533048c653e,upi,3e33d69a2db3bc8b,Mastercard
3144b53e-a7b9-4156-b6de-ff2a6250aabf,netbanking,e43f6efecb335f6c,Mastercard
e31ae7be-171e-4bfb-8222-445c6e7f7ab0,card,98d72abe55723fbe,Amex
de5106af-5a81-4665-8015-f262fe56755e,upi,38f670dcf874924b,RuPay
a25a5ebc-5c63-48e2-9fc6-6b85405d14a1,netbanking,c5514e776020a25e,Visa
bf960981-1593-498e-a29e-8c96cb16e5a9,wallet,918a1ba5318c65c4,Visa
b9305dce-d7a0-4d01-9d41-46223619d948,upi,3cfcd2e190dcd5da,Visa
0e474401-18f4-43ed-a20f-aa0cd8b4433a,upi,04121356df79adcf,RuPay
b63f49bf-63f5-4a2a-98e9-3d17c6608a53,upi,ab2dea9820747f7a,Visa
1604695c-5cde-468a-b1f1-a87908369859,upi,cf5bfe1b943cdfe9,Mastercard
143d5289-3912-4a49-8d84-ebe3c1cd146a,wallet,643337d8ed1e8ae9,Amex
909d0156-08f4-48b9-b85b-47a2f5cd4c17,upi,1ddd2f4008096bab,Visa
cac16a01-c6a5-4061-9ed1-e3cb38a409af,card,3ea777412ac493c4,Visa
984f2801-e1ca-4011-9d18-6fe5e3db930e,card,ddc3912458a97d39,Visa
31cacc59-9db2-4783-bfec-5b6b48472914,upi,85e6c79fb5bf85ae,Mastercard
a9769faa-bb3c-4eaf-8515-5c5981edbfd8,netbanking,d10528e2cd58d374,Visa
da368b2b-944d-4dcf-95e9-2042b7253d14,card,c60bb64995d13362,RuPay
8c1ba9f8-8c2f-43fb-83c4-451f4410703d,card,c27f93201d677cdf,RuPay
131a76d4-68e1-4912-9436-c3df2eced00f,wallet,16bfa7782c05e6e1,Visa
2c514ab6-3125-47b7-a028-c75b18063ebc,upi,f7a0b8f0ff0fc193,RuPay
fbb0714a-5346-40e4-b87e-2f35e4c74a7a,card,099be61567a2a846,Mastercard
04d144e0-36e9-4840-ab39-669c4296a88d,card,8887cf4631d1d58b,Visa
1152a960-f6ea-4324-afb9-0ed5a00bda29,upi,f56f6657ca771464,Mastercard
2da49382-3592-4daf-af18-699cd42590b7,card,c81516ebd42e12ba,RuPay
872e43ff-f439-49d7-add0-c637f27793bd,upi,8894c9a3cde66d58,Visa
b14b403f-e213-4590-b937-5fd567d2a1bd,upi,661e9c7bc16405af,Amex
a16659c4-270d-4b4e-aeab-bb9a4c53a0e2,upi,3448f2f162b5fd25,Amex
ddb3e66b-5372-40ae-a0ad-ebb9b41703dc,upi,064488f32d93893b,Visa
ef4b16a9-eb92-42fe-b4ca-96e73ffe6061,card,ccb8b344abdbc729,Visa
e25844fd-b9d0-4da7-93af-e93942942d41,card,46b856c090d0433d,Mastercard
c906789b-f536-46d7-9397-9801c7aed270,card,c0364f914fda7db9,Amex
1a35070e-198e-4038-9bd8-7972512d585b,card,6da5dbbcad627484,Visa
e3bbe413-519a-40f1-9060-ca3980228a32,upi,54bea9c284322537,Mastercard
779f2618-9460-4f9c-a8e6-6c0b0078617b,card,9cf93516c2d0bfa3,RuPay
606fc594-a09c-4098-ae54-e3ef7b739d9f,upi,781410fe7c6e5772,Visa
4aabedb1-c207-432a-8792-78ac43d448a1,card,2d18aa0b36c6019a,Visa
d36d80d4-94e4-4192-9709-cfbd79b2ffdf,card,fe562c6252d985d7,Visa
d7beccff-a4bf-4e63-a97a-be229471db2a,card,65d48daa05c3e5fb,Visa
7af0da44-c1af-4945-82fd-0abedcb1b63d,upi,b080c4eaf3d86718,RuPay
306cf74e-dabb-4c23-bb3c-f994addf620d,upi,4e473d08e633d6a3,Amex
c1b875c2-1a46-47e2-a347-47651037eb46,netbanking,a78bf59ea9d954c8,Mastercard
dfc72b98-ed60-4c66-be9d-3755b6eadb53,card,d2196e4af14ba1d7,Mastercard
